抃	bmj · ⺘ 4
搒	bhj · ⺘ 方
昄	bjv · 日 又
昺	bkv · 日 人
晡	buv · 日 4
本	bfw · 木 1
湴	bjk · ⺡ 1
瀌	bnk · ⺡ 灬
瀑	bck · ⺡ ⺢
玢	bba · 王 刀
琫	bga · 王 十
琲	bwa · 王 三
畀	biw · 田 2
白	bds · 白 白
癿	bps · 白 5
祊	bgh · ⺭ 方
苄	bmz · ⺾ 4
蔀	buz · ⺾ 阝
表	bna · 龶 4
边	bmu · 力 辶
飑	bni · 风省 巳
馞	bou · 3 子
𠳐	bho · 口 阝
𬇙	bwk · ⺡ 贝
背	bwl · 北字旁 青字底
鲍	bcq · 鱼 巳
鳔	bnq · 鱼 八
蹦	bgg · 足旁 月
跛	bog · 足旁 又
跸	big · 足旁 十
鲅	baq · 鱼 4
擘	boq · 尸 2
笔	bin · 竹头 七
叭	bao · 口 八
棒	bhw · 木 十
蚌	bhf · 虫 丰
玤	bha · 王 丰
薄	bcz · ⺾ 寸
百	bdd · 1 白
佰	bdx · 亻 白
版	bju · 3 又
苪	bkz · ⺾ 人
秉	bks · 3 末
艴	bor · 5 巴
龅	bcr · 止 巳
揼	bgj · ⺘ 水
仌	bke · 人 人
毕	bia · 比字旁 十
褊	bmh · ⻂ 扁字心
笾	bmn · 竹头 辶
拜	bdu · 3 丰
簿	bun · 竹头 寸
悲	bwp · 北字旁 心
吧	ba · 口 巴
爸	ba · 八 巴
报	bc · ⺘ 又
帮	bh · 三 巾
办	bj · 力 横两点
并	bk · 丷 2
波	bo · ⺡ 又
变	bz · 亠 又
必	bi · 4 八
不	b · 1 4
把	b · ⺘ 巴
比	b · 比字旁 匕
遍	bmq · 户 辶
逼	bid · 1 辶
避	biq · 尸 辶
搬	bjj · ⺘ 又
宝	bci · 宀 玉
闭	bio · 门 3
博	bos · 十 寸
拨	boj · ⺘ 4
八	baf · 八 八
捌	baji · ⺘ ⺉
朳	bawf · 木 八
妭	bayh · 女 4
濒	bbkm · ⺡ 贝
槟	bbwf · 木 八
趵	bcgh · 足旁 4
褒	bcih · 亠 4
豹	bcuh · 3 4
刨	bcui · 3 ⺉
煲	bcxt · 亻 火
皕	bdbd · 1 白
𤾩	bdbd · 
掰	bdup · 3 2
稗	bdus · 3 十
倴	bfxp · 亻 2
夯	bfxu · 大 力
镚	bgdl · 钅 月
榜	bhwf · 木 方
诐	bicl · 讠 又
铋	bidu · 钅 八
敝	bifj · 丷 攵
沘	bika · ⺡ 匕
滗	bikr · ⺡ 七
泌	biku · ⺡ 八
赑	bimm · 贝 贝
愎	binj · 忄 夂
咇	biou · 口 八
襞	biqk · 尸 衣
辟	biqs · 尸 干
嬖	biqy · 尸 女
弼	birr · 5 5
庳	birs · 广 十
秕	biua · 3 匕
秘	biuu · 3 八
毴	biuu · 3 三
馝	biuu · 3 八
苾	bizu · ⺾ 八
阪	bjbl · 阝 又
攽	bjfj · 八 攵
𨭉	bjjd · 文 1
扮	bjji · ⺘ 刀
扳	bjjl · ⺘ 又
拌	bjjp · ⺘ 十
癍	bjmj · 疒 王
靽	bjvs · 廿 十
卞	bmih · 亠 4
籓	bmnw · 竹头 田
𨚕	bmpb · 厶 阝
碥	bmtd · 石 扁字心
砭	bmth · 石 4
萹	bmzj · ⺾ 扁字心
脿	bnlh · 月 4
瘭	bnmf · 疒 八
杓	bnwh · 木 4
幖	bnyf · 巾 八
骉	bnzz · 马 马
僰	bode · 1 人
钹	bodh · 钅 4
铂	bods · 钅 白
踣	bogo · 足旁 口
搏	bojk · ⺘ 寸
浡	boka · ⺡ 子
渤	boku · ⺡ 力
膊	bolk · 月 寸
箔	bons · 竹头 白
孛	bosa · 十 子
舶	bots · 舟 白
蹩	bpfg · 丷 足
瓿	bubh · 立 4
𬷕	budc · 1 鸟
钚	budh · 钅 4
逋	budq · 1 辶
埔	bugh · 土 4
埗	bugu · 土 3
怖	buny · 忄 巾
陂	bwbl · 阝 又
褙	bwhl · ⻂ 青字底
惫	bwjn · 夂 心
北	bwla · 北字旁 匕
邶	bwlb · 北字旁 阝
糒	bwlp · 米 十
鹎	bwsc · 白 鸟
焙	bwto · 火 口
碚	bwto · 石 口
鞁	bwvl · 廿 又
棓	bwwo · 木 口
跋	bagh · 足旁 4
羓	baft · 丷 巴
蚆	baft · 虫 巴
勃	bosu · 十 力
鄙	biob · 口 阝
匕	biaa · 匕 匕
毙	biaa · 比字旁 死
扒	bajf · ⺘ 八
蕃	bozw · ⺾ 田
颁	bjfm · 八 贝
哔	bios · 口 十
帛	bosy · 白 巾
梆	bhwb · 木 阝
鳖	bpfq · 丷 鱼
炮	bctt · 火 巳
鸨	bcac · 匕 鸟
狴	bibg · ⺨ 土
镳	bndn · 钅 灬
裨	bihs · ⻂ 十
荜	bizs · ⺾ 十
萆	bizs · ⺾ 十
薜	bizs · ⺾ 干
妣	biya · 女 匕
邴	bkdb · 1 阝
葆	bczw · ⺾ 木
砵	botd · 石 1
捭	bdjs · ⺘ 十
筚	bins · 竹头 十
吡	bioa · 口 匕
摈	bbjf · ⺘ 八
蓖	biza · ⺾ 匕
荸	biza · ⺾ 子
芘	biza · ⺾ 匕
檗	boqw · 尸 木
箅	binp · 竹头 2
哱	booa · 口 子
嶓	bopw · 山 田
儦	bnxn · 亻 灬
忭	bmnh · 忄 4
昪	bmvp · 日 2
柈	bjwp · 木 十
栟	bfwp · 木 2
桲	bowa · 木 子
椑	bwws · 木 十
欂	bowk · 木 寸
毖	biau · 比字旁 八
珌	biau · 王 八
胈	balh · 月 4
菝	bazh · ⺾ 4
藨	bnzn · ⺾ 灬
蛃	bkfe · 虫 人
邠	bbfb · 八 阝
邲	binb · 4 阝
鐾	bwqd · 尸 1
镈	bodk · 钅 寸
鹁	bosc · 十 鸟
𬭛	bodl · 钅 又
辈	bwpt · 北字旁 车
壁	biqg · 尸 土
播	bojw · ⺘ 田
碧	biat · 王 石
驳	bozy · 马 乂
苞	bczt · ⺾ 巳
饽	boga · ⺈ 子
甏	bggh · 士 4
俵	bnxh · 亻 4
飚	bnit · 风省 火
扁	bmqj · 户 扁字心
鳊	bmqj · 鱼 扁字心
鲃	baqt · 鱼 巴
㞎	baqt · 
鲾	biqw · 鱼 田
鲌	boqs · 鱼 白
耙	baat · 丰 巴
並	bkfd · 丷 1
屄	biqf · 尸 八
菠	bozl · ⺾ 又
醭	bupe · 西 夫
梐	biwg · 木 土
抦	bkje · ⺘ 人
猋	bnbb · 犬 犬
噃	boow · 口 田
坒	biag · 比字旁 土
觱	birp · 厂 十
璧	biqa · 尸 玉
篦	bina · 竹头 匕
刺	cid · 1 ⺉
材	cdw · 木 3
村	cyw · 木 寸
残	cjf · 歹 戋
惨	cjn · 忄 3
操	ccj · ⺘ 木
猜	cdb · ⺨ 青字底
苍	chz · ⺾ ⺋
财	cdm · 贝 3
曹	ccd · 1 日
