阿	tz_· 阝可 ·a
鎚	ztku2· 金丿㠯辶 ·dui
搥	utk_· 扌丿㠯辶 ·dui
鐓	zghh3· 金子攵 ·dui
鐜	ghhz2· 子攵金 ·dui
懟	cgkh· 业⺷寸心 ·dui
憞	hghh2· 忄子攵 ·dui
陮	tui2· 阝隹 ·dui
隊	thjs· 阝丷豕 ·dui
嵟	vxui· 山厂隹 ·dui
頧	tkw_· 丿㠯頁 ·dui
對	cgk_· 业⺷寸 ·dui
奪	muk_· 大隹寸 ·dui
塠	gtku· 土丿㠯辶 ·dui
埻	gghi· 土子 ·dui
垖	gtki· 土丿㠯 ·dui
鴭	tkx_· 丿㠯鳥 ·dui
兌	hdpe3· 八口儿 ·dui
兊	hkp_· 八厶儿 ·dui
顿	fsw_· 一页 ·dun
吨	dfs_· 口一 ·dun
蹲	phy_· ⻊丷酉寸 ·dun
炖	cfsc· 火一 ·dun
盾	xnq_· ⺁十目 ·dun
敦	ghh_· 子攵 ·dun
墩	gghh· 土子攵 ·dun
钝	zfs_· 钅一 ·dun
遁	xnqu· ⺁十目辶 ·dun
盹	qfs_· 目一 ·dun
囤	rfs_· 囗一 ·dun
趸	fpp_· 一足 ·dun
沌	kfs_· 氵一 ·dun
礅	mgh_· 石子攵 ·dun
镦	zgh_· 钅子攵 ·dun
砘	mfsc· 石一 ·dun
蹾	pgh_· ⻊子攵 ·dun
惇	hgh_· 忄子 ·dun
楯	exnq· 木⺁十目 ·dun
蜳	cghi2· 虫子 ·dun
腯	vxnq· 月⺁十目 ·dun
腞	vbj_· 月彑 ·dun
碷	mxnq· 石⺁十目 ·dun
獤	mghh2· 犭子攵 ·dun
踲	pxnq· ⻊⺁十目 ·dun
犜	qghh2· 牜子攵 ·dun
燉	cghh· 火子攵 ·dun
躉	lqvp· 艹田⽱足 ·dun
潡	kghh2· 氵子攵 ·dun
逇	geuc· 土也辶 ·dun
遯	vju_· 月豕辶 ·dun
橔	eghh2· 木子攵 ·dun
鈍	zfsc2· 金一 ·dun
撴	ughh· 扌子攵 ·dun
撉	ghhu· 子攵手 ·dun
鐓	zghh3· 金子攵 ·dun
鐜	ghhz2· 子攵金 ·dun
憞	hghh2· 忄子攵 ·dun
忳	hfsc· 忄一 ·dun
庉	xfs_· 广一 ·dun
頓	fswy2· 一頁 ·dun
壿	ghyk2· 士丷酉寸 ·dun
墪	ghhg2· 子攵土 ·dun
驐	nghh2· 馬子攵 ·dun
坉	gfs_· 土一 ·dun
噸	dfsw· 口一頁 ·dun
伅	jfsc· 亻一 ·dun
多	ll_· 夕夕 ·duo
躲	zo_· 身几木 ·duo
夺	mk_· 大寸 ·duo
朵	oe_· 几木 ·duo
剁	oep_· 几木刂 ·duo
铎	zru_· 钅又 ·duo
垛	goe_· 土几木 ·duo
踱	pxl_· ⻊广廿又 ·duo
舵	iwv_· 舟宀匕 ·duo
跺	poe_· ⻊几木 ·duo
度	xlr_· 广廿又 ·duo
堕	tnvg· 阝𠂇⺝土 ·duo
哆	dll_· 口夕夕 ·duo
惰	hnu_· 忄𠂇工⺝ ·duo
掇	urr_· 扌又又又又 ·duo
哚	doe_· 口几木 ·duo
裰	trr_· 衤又又又又 ·duo
驮	nmd_· 马大 ·duo
咄	dsm_· 口屮凵 ·duo
缍	ill_· 纟千艹士 ·duo
沱	kwvb· 氵宀匕 ·duo
柁	ewv_· 木宀匕 ·duo
亸	ghhn· 子丷田十 ·duo
剟	rrrp· 又又又又刂 ·duo
饳	qsm_· 饣屮凵 ·duo
茤	lll_· 艹夕夕 ·duo
綞	illg2· 糹千艹士 ·duo
詑	swv_· 言宀匕 ·duo
貀	msmk2· 豸屮凵 ·duo
痥	ahdp3· 疒丷口儿 ·duo
趓	poem2· 走几木 ·duo
跢	pllx3· ⻊夕夕 ·duo
跥	pve_· ⻊乃木 ·duo
跿	ppz_· ⻊走 ·duo
躱	zve_· 身乃木 ·duo
軃	zddn· 身口口田十 ·duo
沰	kms2· 氵石 ·duo
鄲	ddqt2· 口口田十阝 ·duo
毲	rrrv· 又又又又毛 ·duo
椯	evl_· 木山而 ·duo
桗	eve_· 木乃木 ·duo
柮	esm_· 木屮凵 ·duo
柂	eeey· 木𠂉也 ·duo
枤	emq2· 木犬 ·duo
杕	emd_· 木大 ·duo
朶	vem2· 乃木 ·duo
敪	rrrh2· 又又又又攵 ·duo
敠	rrrh· 又又又又攴 ·duo
敚	hdph2· 丷口儿攵 ·duo
敓	hdph· 八口儿攵 ·duo
鐸	zygg· 金罒土 ·duo
挆	uoem· 扌几木 ·duo
挅	uve_· 扌乃木 ·duo
憜	htn_· 忄阝𠂇工⺝ ·duo
陊	tllx3· 阝夕夕 ·duo
陏	tnvy· 阝𠂇⺝ ·duo
隓	tnuu2· 阝𠂇工𠂇工 ·duo
嶞	tnuv2· 阝𠂇工⺝山 ·duo
崜	vll_· 山千艹士 ·duo
尮	ovem· 尢乃木 ·duo
飿	qsmk3· 飠屮凵 ·duo
嫷	btn_· 女阝𠂇工⺝ ·duo
媠	bnuv· 女𠂇工⺝ ·duo
馱	nmd2· 馬大 ·duo
奲	mqon· 大耂日口口田十 ·duo
奪	muk_· 大隹寸 ·duo
駄	nmid· 馬大丶 ·duo
夛	blx_· 夕 ·duo
墯	hnug· 忄𠂇工⺝土 ·duo
墮	tnug· 阝𠂇工⺝土 ·duo
埵	gllg· 土千艹士 ·duo
垜	gve_· 土乃木 ·duo
嚲	ghdn· 子口口田十 ·duo
嚉	dcgk· 口业⺷寸 ·duo
鬌	penv· 镸彡𠂇工⺝ ·duo
喥	dxlr· 口广廿又 ·duo
鮵	whdp· 魚丷口儿 ·duo
吋	dkc_· 口寸 ·duo
鵽	rrrx· 又又又又鳥 ·duo
剫	xlrp· 广廿又刂 ·duo
刴	vep_· 乃木刂 ·duo
凙	wyg_· 冫罒土 ·duo
㙮	grj_· 土⺮亼口 ·da
㜓	bljd· 女艹亼口 ·da
㟷	vlj_· 山艹亼口 ·da
㯚	erjd· 木⺮亼口 ·da
㾑	ajdk4· 疒亼口 ·da
㿯	jdr_· 亼口皮 ·da
䃮	mggu2· 石土羊辶 ·da
䐊	vovv3· 月日匕 ·da
䑽	iozv3· 舟⺜羽 ·da
䩢	tutj· 革扌斤 ·da
䳴	ykx_· 罒鳥 ·da
䵣	pofi2· 黑日一 ·da
㐲	jmd2· 亻大 ·dai
㞭	mvs4· 大山 ·dai
㫹	omtj· 日斤 ·dai
㯂	elwr· 木艹冖巾 ·dai
㶡	och4· 几火 ·dai
㻖	nbks4· 王氺 ·dai
㿃	alwr· 疒艹冖巾 ·dai
䈆	rmmq· ⺮户犬 ·dai
䒫	ljpi· 艹亻弋 ·dai
䚞	xtej2· ⺈用木人人 ·dai
䚟	xtok· ⺈用日一寸 ·dai
䲦	xmd2· 鳥大 ·dai
㔊	zrdp· 亠囗口日一刂 ·dan
㕪	dwpe· 口冖 ·dan
㗖	dyp_· 口爫臼 ·dan
㡺	xof_· 广日一 ·dan
㫜	oofi· 日日一 ·dan
㱽	wprs· 冖殳 ·dan
㲷	vddn2· 气口口田十 ·dan
㵅	kjao· 氵亽貝 ·dan
㺗	mddn3· 犭口口田十 ·dan
㽎	zhap2· ㇗冖 ·dan
䃫	mxxs3· 石⺈厂八言 ·dan
䄷	xms2· 禾石 ·dan
䉞	rnfh· ⺮戊一口心 ·dan
䉷	rddh· ⺮口口厂乛耳攵 ·dan
䨢	tzha· ⻗㇗ ·dan
䨵	tkvn· ⻗氵覀日十 ·dan
䩥	ttsu2· 革丿止廴 ·dan
䭛	qaqh2· 飠乛耳攵 ·dan
䮰	nimc· 馬冂古 ·dan
䱋	wlhb2· 魚龷八 ·dan
䳉	hwx_· 夂⺀鳥 ·dan
䑗	pofe3· 臼日一勹 ·dang
䣊	ste_· 尚阝 ·dang
䣣	spt_· 黑阝 ·dang
䦒	ams2· 門石 ·dang
㔑	ltkp3· 艹丿㠯辛刀 ·dao
㠀	xvs5· 鳥山 ·dao
㨶	uxn2· 扌鳥 ·dao
㿒	aga_· 疒士乛工一口寸 ·dao
䆃	houx· 䒑自辶禾 ·dao
䊭	pgak2· 米士乛工一口寸 ·dao
䌦	izui· 糹羽隹 ·dao
䣣	spt_· 黑阝 ·dao
䧂	tpdk3· 阝刀口 ·dao
䮻	ngak2· 馬士乛工一口寸 ·dao
䲽	mxn4· 石鳥 ·dao
㝵	ofkc· 日一寸 ·de
㝶	ypk_· 罒儿寸 ·de
㤫	nvh_· 𠂇⺝心 ·de
㥀	hnqf· 忄十一 ·de
㥁	nyah· 十罒㇗心 ·de
㯖	enyh· 木十罒一心 ·de
䙷	ekc2· 見寸 ·de
䙸	ekc3· 見寸 ·de
䮻	ngak2· 馬士乛工一口寸 ·dei
䒭	lnkc2· 艹寸 ·deng
䠬	phzt· ⻊癶豆阝 ·deng
䮴	nhzd2· 馬癶豆 ·deng
㡳	xbs2· 广氏 ·di
㢩	bnid2· 弓勹丶 ·di
㣙	wdy4· 彳由 ·di
㦅	hlwr· 忄艹冖巾 ·di
㪆	bihp· 氏丶攴 ·di
㭽	exbi· 木广氏丶 ·di
㰅	eimu· 木冂古辶 ·di
㹍	qim_· 牜冂古 ·di
㼵	otrw· 日瓦 ·di
䀸	utqm· 扌斤目 ·di
䀿	qutj· 目扌斤 ·di
䂡	mtfi· 石一 ·di
䊮	pzui3· 米羽隹 ·di
䍕	ybid2· 罒氏丶 ·di
䏑	vmjj4· 冂人人 ·di
䑭	iku_· 舟氵工 ·di
䑯	ihtf3· 舟丷𢎨 ·di
䗖	clwr· 虫冖巾 ·di
䞶	pone2· 走日勹 ·di
䟡	pbid· ⻊氏丶 ·di
䢑	biuc· 氏丶辶 ·di
䣌	xbit· 广氏丶阝 ·di
䧝	tsf_· 阝屮一虫 ·di
䨀	jpui· 入米隹 ·di
䨢	tzha· ⻗㇗ ·di
䨤	tdu_· ⻗由辶 ·di
䩘	tfiy· 革一幺 ·di
䩚	tbid3· 革氏丶 ·di
䮤	nwu_· 馬冖隹 ·di
䯼	pemc· 镸彡犭火 ·di
䱃	wthf· 魚丿夫 ·di
䱱	wiwr· 魚冖巾 ·di
䲦	xmd2· 鳥大 ·di
䴞	yrpu2· ⺊囗羽隹 ·di
䵠	pnid3· 黑勹丶 ·di
䶍	yoql· 至自田丌 ·di
㓠	ydpd· ⺊口刂 ·dian
㚲	byd_· 女⺊口 ·dian
㝪	wggi· 宀土九丶 ·dian
㞟	chym· 尸丷酉大 ·dian
㥆	hbk_· 忄氺 ·dian
㵤	kzm_· 氵羽大人人 ·dian
㶘	krvn· 氵⺮覀日十 ·dian
㸃	pydk5· 黑⺊口 ·dian
㼭	gydr· 土⺊口瓦 ·dian
䍄	aydk2· 缶⺊口 ·dian
䓦	lihb· 艹 ·dian
䟍	poel· 走自穴方 ·dian
䧃	tqt3· 阝田 ·dian
䩚	tbid3· 革氏丶 ·dian
㒛	jzu_· 亻羽隹 ·diao
㪕	yonh· ⺊日十攴 ·diao
㹿	myon· 犭⺊日十 ·diao
䂪	mpww2· 石儿冫 ·diao
䂽	myon2· 石⺊日十 ·diao
䄪	xni_· 禾勹丶 ·diao
䄷	xms2· 禾石 ·diao
䉆	rxn4· ⺮鳥 ·diao
䔙	lzni· 艹金勹丶 ·diao
䠼	zjvp3· 身亼⺝刂 ·diao
䳝	idx_· 立口鳥 ·diao
䵲	pdde3· 黑口口口木 ·diao
㑙	jqa_· 亻耳㇗ ·die
㥈	rydh· 巾⺊口心 ·die
㦶	pyi3· 戈至 ·die
㩸	uqqf· 扌田田田宀夕一 ·die
㩹	uqqf2· 扌田田田冖且 ·die
㫼	oqrp· 日牛巾刂 ·die
㬪	ooob3· 日日日宀彑 ·die
㭯	eqae· 木耳㇗ ·die
㲲	qqqv2· 田田田冖且毛 ·die
㲳	bith· 氏丶丿夫 ·die
㷸	cofu· 火日一艹 ·die
㻡	nlae2· 王廿㇗木 ·die
䏲	vht_· 月丷𢎨 ·die
䘭	tyi2· 衤至 ·die
䞇	ghgo2· 土八土九丶貝 ·die
䞕	gctl· 土⻗而 ·die
䠟	ggkp· 土九丶足 ·die
䪥	gorf· 貝又非一 ·die
䮢	nlp_· 馬千臼 ·die
䲀	ggkw· 土九丶魚 ·die
䳀	xthf3· 鳥丿夫 ·die
䳻	ytxn2· 車斤鳥 ·die
䴑	qqqx4· 田田田冖且鳥 ·die
㝎	wri2· 宀之 ·ding
㝪	wggi· 宀土九丶 ·ding
㫀	oot_· 日曰斤 ·ding
㴿	kawy· 氵丁頁 ·ding
㼗	arw2· 丁瓦 ·ding
㑈	jryx· 亻小 ·dong
㓊	wmfd3· 冫冂一口 ·dong
㖦	deor· 口木日 ·dong
㗢	dlds· 口千里力 ·dong
㜱	btt_· 女斤斤貝 ·dong
㢥	mfdp2· 冂一口弋 ·dong
㨂	ueor· 扌木日 ·dong
㼯	eorw· 木日瓦 ·dong
䂢	mhwb2· 石夂⺀ ·dong
䅍	xtgu2· 禾㇒士廴 ·dong
䍶	geor2· ⺶木日 ·dong
䞒	gcm_· 土冂一口 ·dong
䵔	xjko2· 禾人氺木日 ·dong
㛒	bzd_· 女豆 ·dou
㞳	vjd2· 山斗 ·dou
㢄	xzd_· 广豆 ·dou
㨮	uubp· 扌白コ儿 ·dou
㪷	zjd3· 豆斗 ·dou
㷆	ctkn· 火丿㠯十 ·dou
䄈	fzd_· 礻豆 ·dou
䇺	rzd_· ⺮豆 ·dou
䕆	lejp· 艹木亼⺝刂 ·dou
䕱	lzw_· 艹豆頁 ·dou
䛠	szd_· 言豆 ·dou
䬦	qrs_· 飠殳 ·dou
㓃	wst_· 冖言丿七 ·du
㱩	gnam· 歹十乛⺀大 ·du
㸿	qgwo· 牜士冖几 ·du
㹍	qim_· 牜冂古 ·du
㾄	ady_· 疒由 ·du
䀾	mrq_· 石又目 ·du
䄍	flo_· 礻龷日 ·du
䅊	xxtr2· 禾广丿七 ·du
䈞	rgo_· ⺮日 ·du
䐗	vqo_· 月耂日 ·du
䓯	lakm2· 艹龶母 ·du
䙱	tckc· 衤尸氺罒勹虫 ·du
䟻	pjxh2· ⻊人 ·du
䢱	gyou· 士罒貝辶 ·du
䪅	tync3· 革罒勹虫 ·du
䫳	yncw· 罒勹虫頁 ·du
䮷	nync2· 馬罒勹虫 ·du
䲧	gxn6· 土鳥 ·du
㫁	iift2· 幺幺一儿㇗斤 ·duan
㱭	gufr2· 歹一殳 ·duan
䠪	piia2· ⻊幺幺一幺幺㇗ ·duan
㙂	ghdp· 土丷口儿 ·dui
㟋	vhdp3· 山丷口儿 ·dui
㠚	vcgk· 山业⺷寸 ·dui
㨃	ugh_· 扌子 ·dui
㬣	ocgk· 日业⺷寸 ·dui
㳔	krk_· 氵又寸 ·dui
㵽	kqqq2· 氵田田田 ·dui
䇏	ighi3· 立子 ·dui
䇤	rfm_· ⺮一冂人 ·dui
䔪	lmbb2· 艹大乂乂乂乂 ·dui
䨴	tcgk2· ⻗业⺷寸 ·dui
䨺	tbtb· ⻗云⻗云⻗云 ·dui
䬈	otcp4· ⺇丿虫丷口儿 ·dui
䬽	qhdp· 飠丷口儿 ·dui
䯟	fhjs· 骨丷豕 ·dui
㬿	vghh2· 月子攵 ·dun
䤜	ztrq· 金丿七 ·dun
㔍	rqlp· ⺮目廾刂 ·duo
㖼	dze_· 口甘木 ·duo
㙐	gvl_· 土山而 ·duo
㛆	bve_· 女乃木 ·duo
㛊	boem· 女几木 ·duo
㣞	whkp· 彳八厶儿 ·duo
㥩	hqor3· 忄耂日 ·duo
㧷	ufmd· 扌一大口 ·duo
㻔	nllg· 王千艹士 ·duo
㻧	nlv_· 王夕㐄木 ·duo
䁟	qgug2· 目⺶工 ·duo
䄍	flo_· 礻龷日 ·duo
䅜	xllg2· 禾千艹士 ·duo
䍴	gxbn· ⺶禾女 ·duo
䐾	vygg2· 月罒土 ·duo
䑨	ieey2· 舟𠂉也 ·duo
䒳	loem2· 艹几木 ·duo
䙃	tnuv3· 衤𠂇工⺝ ·duo
䙟	trg_· 衤囗韋 ·duo
䙤	tfdu· 衤冎口辶 ·duo
䠤	pddn· ⻊口口田十 ·duo
䤪	zoem4· 金几木 ·duo
䤻	znuv· 金𠂇工⺝ ·duo
䩔	trs_· 革殳 ·duo
䩣	tjxh2· 革人 ·duo
䫂	llwy· 夕夕頁 ·duo
䯬	gdnn· 口十口口田十 ·duo
俄	jtu_· 亻丿扌戈 ·e
额	wsw_· 宀各页 ·e
娥	btu_· 女丿扌戈 ·e
鄂	ddmt· 口口二ㄅ阝 ·e
恶	fchx· 一业心 ·e
厄	xzj_· 厂⺋ ·e
饿	qtu_· 饣丿扌戈 ·e
鹅	tup_· 丿扌戈鸟 ·e
峨	vtu_· 山丿扌戈 ·e
锷	zdda· 钅口口二ㄅ ·e
鳄	wdda· 鱼口口二ㄅ ·e
扼	uxz_· 扌厂⺋ ·e
遏	onfu· 曰勹亾辶 ·e
蛾	ctu_· 虫丿扌戈 ·e
呃	dxz_· 口厂⺋ ·e
萼	ldda· 艹口口二ㄅ ·e
莪	ltup· 艹丿扌戈 ·e
讹	sjv_· 讠亻 ·e
谔	sdd_· 讠口口二ㄅ ·e
愕	hdd_· 忄口口二ㄅ ·e
鹗	ddmx· 口口二ㄅ鸟 ·e
轭	yxz_· 厂⺋ ·e
屙	ctz_· 尸阝可 ·e
腭	vdda· 月口口二ㄅ ·e
颚	ddmw· 口口二ㄅ页 ·e
锇	ztu_· 钅丿扌戈 ·e
噩	ndd_· 王口口口口 ·e
阿	tz_· 阝可 ·e
哦	dtu_· 口丿扌戈 ·e
哑	dfc_· 口一业 ·e
婀	btz_· 女阝可 ·e
垩	fcgt· 一业土 ·e
阏	aljw2· 门方人⺀ ·e
苊	lxz_· 艹厂⺋ ·e
蕚	ldda2· 艹口口口二ㄅ ·e
蘁	lndd2· 艹王口口口口 ·e
蚅	cxz_· 虫厂⺋ ·e
蝁	fccc· 一虫 ·e
覨	ddme· 口口二ㄅ見 ·e
訛	sjvb2· 言亻 ·e
詻	ssg2· 言各 ·e
誐	stu_· 言丿扌戈 ·e
諤	sdda2· 言口口二ㄅ ·e
磀	mhs_· 石䒑辶 ·e
硆	mjdk· 石亼口 ·e
砵	mef_· 石木一 ·e
譌	sytc· 言爫丿ヿヿヿ灬 ·e
砨	mmai2· 石户乙 ·e
砐	mcj2· 石及 ·e
砈	mxz_· 石厂⺋ ·e
讍	sndd2· 言王口口口口 ·e
睋	qtup3· 目丿扌戈 ·e
豟	jmai2· 豕户乙 ·e
皒	utup· 白丿扌戈 ·e
琧	fcn_· 一王丶 ·e
珴	ntu_· 王丿扌戈 ·e
軛	yxzj2· 車厂⺋ ·e
軶	ymai2· 車户乙 ·e
湂	kdda· 氵口口二ㄅ ·e
迗	fmu_· 一大辶 ·e
涐	ktup· 氵丿扌戈 ·e
遌	ddmu· 口口二ㄅ辶 ·e
遻	ddhu· 口口䒑辶 ·e
歺	gd2· 歺 ·e
歞	oiie· 日幺幺灬欠 ·e
櫮	endd3· 木王口口口口 ·e
鈋	zjvb· 金亻 ·e
椏	efcy2· 木一 ·e
鈪	zxz_· 金厂⺋ ·e
枙	exzj· 木厂⺋ ·e
鋨	ztup2· 金丿扌戈 ·e
鍔	zdda2· 金口口二ㄅ ·e
敋	shp2· 各攵 ·e
擜	unmm· 扌十冂犬 ·e
搹	ung_· 扌鬲 ·e
搤	uka_· 扌皿 ·e
搕	ugka· 扌土厶皿 ·e
鑩	zndd3· 金王口口口口 ·e
閜	azk3· 門可 ·e
戹	mai3· 户乙 ·e
閼	aljw3· 門方人⺀ ·e
阨	txzj· 阝厂⺋ ·e
惡	fchx2· 一心 ·e
阸	tmai· 阝户乙 ·e
悪	fchx3· 一心 ·e
廅	xgka· 广土厶皿 ·e
崿	vdda2· 山口口二ㄅ ·e
峩	vtup2· 山丿扌戈 ·e
頞	wbwy2· 宀女頁 ·e
頟	swy3· 各頁 ·e
峉	vsg2· 山各 ·e
岋	vcj2· 山及 ·e
屵	vxc_· 山厂 ·e
額	wswy2· 宀各頁 ·e
顎	ddmw2· 口口二ㄅ頁 ·e
餓	qtup2· 飠丿扌戈 ·e
餩	qjkh· 飠人亥 ·e
娿	tzb_· 阝可女 ·e
娾	bxgg· 女厂土土 ·e
姶	bjd_· 女亼口 ·e
妿	sdb_· 力口女 ·e
妸	bzk_· 女可 ·e
騀	ntup2· 馬丿扌戈 ·e
堮	gdda· 土口口二ㄅ ·e
堨	gonf2· 土曰勹亾 ·e
堊	fcgt2· 一土 ·e
埡	gfcy2· 土一 ·e
囮	rjv_· 囗亻 ·e
噁	dfch2· 口一心 ·e
魤	wjv_· 魚亻 ·e
魥	wcj2· 魚及 ·e
啞	dfcy2· 口一 ·e
啈	dggy· 口土 ·e
唖	dfcy3· 口一 ·e
咹	dwb_· 口宀女 ·e
鰐	wdda2· 魚口口二ㄅ ·e
咢	ddma· 口口二ㄅ ·e
鰪	wgka· 魚土厶皿 ·e
呝	dma_· 口户乙 ·e
吪	djvb· 口亻 ·e
鱷	wndd2· 魚王口口口口 ·e
卾	ddmz· 口口二ㄅ卩 ·e
鴳	wbxn2· 宀女鳥 ·e
鵝	tupx2· 丿扌戈鳥 ·e
鵞	tupx3· 丿扌戈鳥 ·e
匎	nmo_· 勹大日乚 ·e
鶚	ddmx2· 口口二ㄅ鳥 ·e
僫	jfch· 亻一心 ·e
偔	jdda· 亻口口二ㄅ ·e
佮	jjdk· 亻亼口 ·e
齃	oqlf3· 自田丌曰勹亾 ·e
齶	ldda3· 齒口口二ㄅ ·e
齾	znml· 虍鬲犬齒 ·e
诶	sko_· 讠厶矢 ·ei
欸	koe_· 厶矢欠 ·ei
誒	skos2· 言厶矢 ·ei
恩	rmh_· 囗大心 ·en
嗯	dr_· 口囗大心 ·en
唔	dwd_· 口五口 ·en
摁	urm_· 扌囗大心 ·en
蒽	lrmh· 艹囗大心 ·en
煾	crmh· 火囗大心 ·en
峎	vig_· 山艮 ·en
奀	cmd2· 不大 ·en
而	l_· 而 ·er
二	me_· 二 ·er
尔	xyx_· 小 ·er
儿	pe_· 儿 ·er
耳	qe_· 耳 ·er
洱	kqe_· 氵耳 ·er
饵	qqe_· 饣耳 ·er
贰	pmo_· 弋二贝 ·er
迩	xyu_· 小辶 ·er
珥	nqe_· 王耳 ·er
鸸	lxn3· 而鸟 ·er
铒	zqe_· 钅耳 ·er
佴	jqe_· 亻耳 ·er
鲕	wle2· 鱼而 ·er
薾	lffb· 艹一 ·er
荋	lle2· 艹而 ·er
胹	vle4· 月而 ·er
衈	taq_· 丿皿耳 ·er
聏	qle2· 耳而 ·er
袻	tle3· 衤而 ·er
耏	les_· 而彡 ·er
誀	sqe2· 言耳 ·er
貮	fpo_· 一弋貝 ·er
貳	pmob2· 弋二貝 ·er
趰	pff_· 走一 ·er
爾	ffb_· 一 ·er
輀	yle2· 車而 ·er
轜	ytl_· 車⻗而 ·er
邇	ffu_· 一辶 ·er
洏	kle2· 氵而 ·er
毦	qvm4· 耳毛 ·er
樲	epm_· 木弋二貝 ·er
栮	eqe2· 木耳 ·er
栭	ele2· 木而 ·er
鉺	zqe2· 金耳 ·er
陑	tle2· 阝而 ·er
陾	tlmd· 阝而大 ·er
隭	ttle2· 阝⻗而 ·er
弍	pme_· 弋二 ·er
峏	vle3· 山而 ·er
尓	eyx_· 𠂉小 ·er
尒	jyx_· 人小 ·er
餌	qqe4· 飠耳 ·er
嬭	bffb2· 女一 ·er
駬	nqe3· 馬耳 ·er
髵	pele· 镸彡而 ·er
髶	peqe· 镸彡耳 ·er
唲	dppe· 口臼儿 ·er
鮞	wle3· 魚而 ·er
咡	dqe2· 口耳 ·er
鴯	lxn7· 而鳥 ·er
刵	qpd2· 耳刂 ·er
兒	ppe_· 臼儿 ·er
児	gop_· 丨日儿 ·er
侕	jle_· 亻而 ·er
㓵	ddmp· 口口二ㄅ刂 ·e
㔩	ngka· 勹土厶皿 ·e
㕎	xgka2· 厂土厶皿 ·e
㖾	ddhs· 口口䒑 ·e
㗁	ddda· 口口口二ㄅ ·e
㗉	apsg· 丰刀各 ·e
㠋	vdda4· 山口口口二ㄅ ·e
㡋	rmo_· 巾大日乚 ·e
㦍	hdds· 忄口口䒑 ·e
㧖	umai2· 扌户乙 ·e
㩵	uznm· 扌虍鬲犬 ·e
㮙	edda· 木口口二ㄅ ·e
㱦	gmzk2· 歹大可 ·e
㷈	cmo_· 火大日乚 ·e
㼂	pfai· 一ㄅ丨冖王丶 ·e
㼢	qrw_· 瓦 ·e
㼰	utnr2· 白丿十瓦 ·e
䄉	ftu_· 礻丿扌戈 ·e
䆓	ekpe3· 穴厶儿 ·e
䑥	icj3· 舟及 ·e
䑪	ijdk3· 舟亼口 ·e
䓊	lwdk3· 艹五口 ·e
䔾	luof· 艹扌曰勹亾 ·e
䕏	lgtp· 艹⺷丿扌戈 ·e
䖸	tupc· 丿扌戈虫 ·e
䙳	vch3· 覀火 ·e
䛖	soa_· 言曰㇂丿 ·e
䝈	jxf_· 豕⺁一⺋ ·e
䞩	pjdk3· 走亼口 ·e
䣞	ddht· 口口䒑阝 ·e
䩹	tng3· 革鬲 ·e
䫷	nddw· 王口口口口頁 ·e
䱮	wapm3· 魚丰刀大 ·e
䳗	xtup· 鳥丿扌戈 ·e
䳘	xtup2· 鳥丿扌戈 ·e
䳬	txn4· 革鳥 ·e
䅰	xrmh· 禾囗大心 ·en
䊐	pov_· 米日匕 ·en
䬶	qig2· 飠艮 ·en
䭓	qvzd2· 飠山豆 ·en
䭡	qyu_· 飠爫工彐心 ·en
㒃	jpmo· 亻弋二貝 ·er
㖇	dle2· 口而 ·er
㚷	bjy_· 女人小 ·er
㛅	bqe2· 女耳 ·er
㜨	bckq· 女尸氺牛 ·er
㢽	bqb_· 弓耳弓 ·er
㧫	ule2· 扌而 ·er
㮕	elmd· 木而大 ·er
䋙	iqe2· 糹耳 ·er
䋩	ippe· 糹臼儿 ·er
䌺	iqe3· 纟耳 ·er
䎟	ble2· 女而 ·er
䎠	kile· 九丶而 ·er
䎶	qogs2· 耳日丨 ·er
䏪	vqe2· 月耳 ·er
䣵	yqe2· 酉耳 ·er
䮘	nppe· 馬臼儿 ·er
发	sr_· 又丶 ·fa
法	kg_· 氵土厶 ·fa
罚	ysp_· 罒讠刂 ·fa
伐	jpg_· 亻戈 ·fa
阀	ajp_· 门亻戈 ·fa
筏	rjp_· ⺮亻戈 ·fa
乏	tri_· 丿之 ·fa
垡	jpgt· 亻戈土 ·fa
砝	mgk_· 石土厶 ·fa
珐	ngk_· 王土厶 ·fa
酦	ysr_· 酉又丶 ·fa
藅	lys_· 艹罒言刂 ·fa
蕟	lhbr· 艹癶弓殳 ·fa
茷	ljpg· 艹亻戈 ·fa
罸	ysk_· 罒言寸 ·fa
罰	yspd2· 罒言刂 ·fa
笩	rjpi· ⺮亻弋 ·fa
瞂	xnqi· ⺁十目𠂇又丶 ·fa
發	hbr_· 癶弓殳 ·fa
貶	otri2· 貝丿之 ·fa
疺	atri· 疒丿之 ·fa
琺	nkg_· 王氵土厶 ·fa
灋	kxfk· 氵一ㄅ灬土厶 ·fa
沷	knr_· 氵𠂇又丶 ·fa
汎	koid· 氵几丶 ·fa
醱	yhb_· 酉癶弓殳 ·fa
橃	ehbr· 木癶弓殳 ·fa
栰	ejp_· 木亻戈 ·fa
鍅	zkg_· 金氵土厶 ·fa
撥	uhbr· 扌癶弓殳 ·fa
閥	ajpg2· 門亻戈 ·fa
彂	cbo_· 业弓矢 ·fa
廢	xhbr· 广癶弓殳 ·fa
姂	btri· 女丿之 ·fa
髪	penr· 镸彡𠂇又 ·fa
髮	pen_· 镸彡𠂇又丶 ·fa
傠	jsk_· 亻言寸 ·fa
