阿	tz_· 阝可 ·a
澳	ktmm· 氵丿冂米大 ·ao
熬	aphc· 龶攵灬 ·ao
敖	aph_· 龶攵 ·ao
傲	jap_· 亻龶攵 ·ao
凹	mfi_· 一 ·ao
鳌	aphw· 龶攵鱼 ·ao
坳	gis_· 土幺力 ·ao
袄	ttm_· 衤丿大 ·ao
翱	umnz· 白大十羽 ·ao
岙	tmv_· 丿大山 ·ao
鏊	aphz· 龶攵金 ·ao
螯	aphc2· 龶攵虫 ·ao
嗷	dap_· 口龶攵 ·ao
鏖	xzj2· 鹿金 ·ao
聱	aphq· 龶攵耳 ·ao
遨	aphu· 龶攵辶 ·ao
媪	boa_· 女日皿 ·ao
懊	htm_· 忄丿冂米大 ·ao
嚣	ddw_· 口口页口口 ·ao
骜	aphn· 龶攵马 ·ao
拗	uis_· 扌幺力 ·ao
獒	aphm· 龶攵犬 ·ao
廒	xap_· 广龶攵 ·ao
璈	nap_· 王龶攵 ·ao
蔜	laph· 艹龶攵 ·ao
芺	ltmd· 艹丿大 ·ao
蝹	coam2· 虫日皿 ·ao
翺	oww_· 自冫十羽 ·ao
翶	uwwz· 白冫十羽 ·ao
襖	ttmm2· 衤丿冂米大 ·ao
磝	maph2· 石龶攵 ·ao
謷	aphs· 龶攵言 ·ao
謸	sap_· 言龶攵 ·ao
獓	maph· 犭龶攵 ·ao
爊	cxc_· 火鹿灬 ·ao
熝	cxl_· 火鹿 ·ao
軪	yis_· 車幺力 ·ao
滶	kaph· 氵龶攵 ·ao
梎	euvb· 木白匕 ·ao
柪	eisl2· 木幺力 ·ao
擙	utmm· 扌丿冂丿米大 ·ao
摮	aphu2· 龶攵手 ·ao
抝	uia_· 扌幺㇆ ·ao
镺	ptmd4· 镸丿大 ·ao
扷	utmd· 扌丿大 ·ao
慠	hap_· 忄龶攵 ·ao
隞	taph· 阝龶攵 ·ao
嶴	tmpv· 丿冂米大山 ·ao
嶅	aphv· 龶攵山 ·ao
岰	visl· 山幺力 ·ao
嫯	aphb· 龶攵女 ·ao
媼	brja· 女囗人皿 ·ao
奧	tmt_· 丿冂丿米大 ·ao
奡	fom_· 一自大 ·ao
墺	gtmm· 土丿冂米大 ·ao
驁	aphn2· 龶攵馬 ·ao
垇	gmfi· 土一 ·ao
囂	ddwd3· 口口頁口口 ·ao
嚻	ddwd2· 口口頁口口 ·ao
嗸	aphd· 龶攵口 ·ao
鰲	aphw2· 龶攵魚 ·ao
厫	xaph2· 厂龶攵 ·ao
鴢	isx_· 幺力鳥 ·ao
鷔	aphx2· 龶攵鳥 ·ao
鼇	aphd2· 龶攵黽 ·ao
㑸	jcz_· 亻古可 ·ai
㕌	xofk· 厂日一寸 ·ai
㗒	dtdk· 口衣口 ·ai
㗨	nord· 匸矢殳口 ·ai
㘷	glb_· 土艹乂 ·ai
㝵	ofkc· 日一寸 ·ai
㝶	ypk_· 罒儿寸 ·ai
㢊	xmz_· 广大可 ·ai
㤅	dhx2· 旡心 ·ai
㱯	gvzd2· 歹山豆 ·ai
㿄	ano_· 疒匸矢殳 ·ai
䀳	qxs3· 目束 ·ai
䅬	xka_· 禾皿 ·ai
䑂	vpfh3· 月一ㄅ丨 ·ai
䔽	lkof· 艹氵曰勹亾 ·ai
䝽	oxgg· 貝厂土土 ·ai
䠹	zkh2· 身亥 ·ai
䨠	tonf3· ⻗曰勹亾 ·ai
䬵	qkh4· 飠亥 ·ai
䶣	lvzd2· 齒山豆 ·ai
㜝	bjay· 女亽酉 ·an
㟁	vxeg2· 山厂干 ·an
㱘	xovs4· 厂日月犬止 ·an
㸩	qeg3· 牜干 ·an
㽢	qmoa2· 田大日乚 ·an
䁆	qmoa3· 目大日乚 ·an
䅁	wbxh· 宀女禾 ·an
䅖	xmoa2· 禾大日乚 ·an
䎏	jadz· 亽口羽 ·an
䎨	amoa4· 耒大日乚 ·an
䜙	soic· 言日幺幺灬 ·an
䬓	otcx· ⺇丿虫音 ·an
䮗	nvxe· 馬山厂干 ·an
䯥	foic· 骨日幺幺灬 ·an
㦹	ofnp· 日一勹戈 ·ang
㭿	eobz· 木日卩 ·ang
㼜	mmr_· 大瓦 ·ang
䀚	qbz_· 目卩 ·ang
䍩	ghp5· ⺶攵 ·ang
䒢	lbzj· 艹卩 ·ang
䩕	tbz_· 革卩 ·ang
䬓	otcx· ⺇丿虫音 ·ang
